DATE,Dividend Yield,GOLDBAR,P/E
2008-12,3.23,31.007521,60.7023
2009-01,3.24,31.614695,120.3907
2009-02,3.43,25.467152,107.156
2009-03,3.6,27.339228,116.3076
2009-04,3.15,24.539543,116.2197
2009-05,2.9,32.112217,122.3888
2009-06,2.76,28.44591,122.4128
2009-07,2.67,29.590523,78.7464
2009-08,2.42,29.420959,81.3892
2009-09,2.29,32.134132,84.2967
2009-10,2.19,30.463829,20.3294
2009-11,2.1,36.195393,21.4956
2009-12,2.02,33.697403,21.8776
2010-01,1.98,29.795422,17.6247
2010-02,2.03,32.225605,18.1272
2010-03,1.9,32.807468,19.193
2010-04,1.83,37.265656,17.6854
2010-05,1.95,36.007793,16.2356
2010-06,2.03,39.229294,15.3608
2010-07,2.05,35.505924,15.3298
2010-08,2.05,40.395546,14.6024
2010-09,1.99,40.093815,15.8809
2010-10,1.92,41.652866,15.2975
2010-11,1.89,44.736336,15.2624
2010-12,1.83,46.170235,16.2591
2011-01,1.79,41.247593,15.8175
2011-02,1.76,45.857681,16.323
2011-03,1.8,45.170807,16.3059
2011-04,1.78,44.387653,16.2586
2011-05,1.8,41.559589,16.0391
2011-06,1.89,39.611645,15.7463
2011-07,1.86,41.60577,14.8572
2011-08,2.1,44.387081,14.0135
2011-09,2.15,40.897293,13.0078
2011-10,2.12,43.395859,14.414
2011-11,2.12,46.359047,14.3411
2011-12,2.13,39.795372,14.4635
2012-01,2.06,43.321999,14.8228
2012-02,2,41.976437,15.4244
2012-03,1.97,38.356491,15.9077
2012-04,2,35.665901,15.8998
2012-05,2.09,34.457321,14.9037
2012-06,2.14,33.309448,15.4932
2012-07,2.11,29.151308,15.9459
2012-08,2.08,34.151711,16.261
2012-09,2.05,37.221592,16.6551
2012-10,2.1,36.09853,16.3237
2012-11,2.2,30.777353,16.3701
2012-12,2.2,31.386919,16.4858
2013-01,2.13,28.616692,17.0822
2013-02,2.1,27.110556,17.2712
2013-03,2.07,26.528696,17.8927
2013-04,2.07,17.785048,17.5654
2013-05,2.01,19.057344,17.9301
2013-06,2.06,14.35267,17.6611
2013-07,2.02,15.474261,17.863
2013-08,2.04,17.462109,17.3039
2013-09,2.04,17.021984,17.8187
2013-10,2.01,17.725906,17.5303
2013-11,1.95,15.074788,18.0221
2013-12,1.94,16.216291,18.4467
2014-01,1.94,17.733984,17.6757
2014-02,1.97,18.745775,18.4378
2014-03,1.94,16.43924,18.5656
2014-04,1.96,16.107321,18.2695
2014-05,1.96,14.853407,18.6537
2014-06,1.92,16.925674,19.0092
2014-07,1.91,16.722198,18.2207
2014-08,1.94,17.008915,18.9069
2014-09,1.93,13.59629,18.6135
2014-10,2,11.008727,19.7249
2014-11,1.91,11.027279,20.2088
2014-12,1.92,10.048726,20.1241
2015-01,1.97,11.946299,20.1007
2015-02,1.94,12.170645,21.204
2015-03,1.96,10.285907,20.8352
2015-04,1.96,12.219209,21.9736
2015-05,1.96,11.130552,22.2041
2015-06,1.99,10.047258,21.7375
2015-07,2.01,6.654189,23.2058
2015-08,2.07,6.550511,21.7536
2015-09,2.19,6.012785,21.1784
2015-10,2.11,7.270176,24.0305
2015-11,2.07,6.939284,24.0426
2015-12,2.11,7.01507,23.6212
2016-01,2.27,9.419966,22.4461
2016-02,2.3,13.203159,22.3534
2016-03,2.17,12.92767,23.8286
2016-04,2.12,18.439543,23.7609
2016-05,2.14,15.964438,24.1252
2016-06,2.13,20.371765,24.147
2016-07,2.08,20.858397,24.3978
2016-08,2.07,16.230618,24.3681
2016-09,2.09,16.926666,24.338
2016-10,2.11,16.802492,22.487
2016-11,2.1,14.347548,23.2555
2016-12,2.03,15.28528,23.6788
2017-01,2.02,17.63833,22.7228
2017-02,1.98,17.772249,23.5681
2017-03,1.96,18.192139,23.5589
2017-04,1.98,16.017511,22.9206
2017-05,1.96,15.845076,23.1859
2017-06,1.94,15.297685,23.2975
2017-07,1.94,16.259199,23.0697
2017-08,1.95,17.297636,23.0823
2017-09,1.93,15.497067,23.5278
2017-10,1.89,13.917504,23.437
2017-11,1.88,13.272193,24.0952
2017-12,1.84,13.966335,24.3321
2018-01,1.77,13.879468,24.4613
2018-02,1.84,11.119019,23.5086
2018-03,1.85,12.046221,22.8766
2018-04,1.9,13.033138,21.6203
2018-05,1.88,12.76222,22.0874
2018-06,1.85,12.732822,22.1944
2018-07,1.84,10.851504,21.599
2018-08,1.82,10.104798,22.2526
2018-09,1.8,10.77527,22.3482
2018-10,1.9,12.204844,20.483
2018-11,1.96,12.399343,20.8488
2018-12,2.09,13.197955,18.9353
2019-01,2.08,13.119023,20.1213
2019-02,1.98,12.384201,20.7195
2019-03,1.96,13.432547,21.0909
2019-04,1.9,12.462582,21.7774
2019-05,1.95,12.168652,20.3449
2019-06,1.94,15.503636,21.7473
2019-07,1.88,15.985358,22.4257
2019-08,1.96,19.05266,22.02
2019-09,1.92,17.071529,22.3983
2019-10,1.93,17.101082,21.7699
2019-11,1.87,16.549435,22.5111
2019-12,1.83,18.422365,23.1547
2020-01,1.79,18.352999,27.7273
2020-02,1.97,18.868309,25.3952
2020-03,2.25,18.215258,22.2177
2020-04,2.41,25.572948,25.0359
2020-05,2.1,23.862782,26.1696
2020-06,1.95,26.864592,26.6508
